2026/09/21 08:49:52 webapp v6 启动，进程启动时刻的配置来源检查：
env  GREETING    = "Hello from ConfigMap"
file GREETING    = <读取失败：open /etc/webapp/GREETING: no such file or directory>
env  APP_ENV     = "dev"
env  FOO-BAR     = "this-key-is-ignored"
env  DB_PASSWORD = 已注入，长度=17
2026/09/21 08:49:52 慢启动时间窗 SLOW_START_SECONDS=0 秒
2026/09/21 08:49:52 webapp v6 正在监听 :8080
2026/09/21 08:50:01 probe path=/healthz result=200 uptime=9s
2026/09/21 08:50:01 http method=GET path=/healthz status=200
2026/09/21 08:50:06 probe path=/healthz result=200 uptime=14s
2026/09/21 08:50:06 http method=GET path=/healthz status=200
2026/09/21 08:50:11 probe path=/healthz result=200 uptime=19s
2026/09/21 08:50:11 http method=GET path=/healthz status=200
2026/09/21 08:50:16 probe path=/healthz result=200 uptime=24s
2026/09/21 08:50:16 http method=GET path=/healthz status=200
2026/09/21 08:50:21 probe path=/healthz result=200 uptime=29s
2026/09/21 08:50:21 http method=GET path=/healthz status=200
2026/09/21 08:50:26 probe path=/healthz result=200 uptime=34s
2026/09/21 08:50:26 http method=GET path=/healthz status=200
2026/09/21 08:50:31 probe path=/healthz result=200 uptime=39s
2026/09/21 08:50:31 http method=GET path=/healthz status=200
2026/09/21 08:50:36 probe path=/healthz result=200 uptime=44s
2026/09/21 08:50:36 http method=GET path=/healthz status=200
2026/09/21 08:50:41 probe path=/healthz result=200 uptime=49s
2026/09/21 08:50:41 http method=GET path=/healthz status=200
2026/09/21 08:50:46 probe path=/healthz result=200 uptime=54s
2026/09/21 08:50:46 http method=GET path=/healthz status=200
2026/09/21 08:50:51 probe path=/healthz result=200 uptime=59s
2026/09/21 08:50:51 http method=GET path=/healthz status=200
2026/09/21 08:50:56 probe path=/healthz result=200 uptime=64s
2026/09/21 08:50:56 http method=GET path=/healthz status=200
2026/09/21 08:51:01 probe path=/healthz result=200 uptime=69s
2026/09/21 08:51:01 http method=GET path=/healthz status=200
2026/09/21 08:51:06 probe path=/healthz result=200 uptime=74s
2026/09/21 08:51:06 http method=GET path=/healthz status=200
2026/09/21 08:51:11 probe path=/healthz result=200 uptime=79s
2026/09/21 08:51:11 http method=GET path=/healthz status=200
2026/09/21 08:51:16 probe path=/healthz result=200 uptime=84s
2026/09/21 08:51:16 http method=GET path=/healthz status=200
2026/09/21 08:51:21 probe path=/healthz result=200 uptime=89s
2026/09/21 08:51:21 http method=GET path=/healthz status=200
2026/09/21 08:51:26 probe path=/healthz result=200 uptime=94s
2026/09/21 08:51:26 http method=GET path=/healthz status=200
2026/09/21 08:51:31 probe path=/healthz result=200 uptime=99s
2026/09/21 08:51:31 http method=GET path=/healthz status=200
2026/09/21 08:51:36 probe path=/healthz result=200 uptime=104s
2026/09/21 08:51:36 http method=GET path=/healthz status=200
2026/09/21 08:51:41 probe path=/healthz result=200 uptime=109s
2026/09/21 08:51:41 http method=GET path=/healthz status=200
2026/09/21 08:51:46 probe path=/healthz result=200 uptime=114s
2026/09/21 08:51:46 http method=GET path=/healthz status=200
2026/09/21 08:51:51 probe path=/healthz result=200 uptime=119s
2026/09/21 08:51:51 http method=GET path=/healthz status=200
2026/09/21 08:51:56 probe path=/healthz result=200 uptime=124s
2026/09/21 08:51:56 http method=GET path=/healthz status=200
2026/09/21 08:52:01 probe path=/healthz result=200 uptime=129s
2026/09/21 08:52:01 http method=GET path=/healthz status=200
2026/09/21 08:52:06 probe path=/healthz result=200 uptime=134s
2026/09/21 08:52:06 http method=GET path=/healthz status=200
2026/09/21 08:52:11 probe path=/healthz result=200 uptime=139s
2026/09/21 08:52:11 http method=GET path=/healthz status=200
2026/09/21 08:52:16 probe path=/healthz result=200 uptime=144s
2026/09/21 08:52:16 http method=GET path=/healthz status=200
2026/09/21 08:52:21 probe path=/healthz result=200 uptime=149s
2026/09/21 08:52:21 http method=GET path=/healthz status=200
2026/09/21 08:52:26 probe path=/healthz result=200 uptime=154s
2026/09/21 08:52:26 http method=GET path=/healthz status=200
2026/09/21 08:52:31 probe path=/healthz result=200 uptime=159s
2026/09/21 08:52:31 http method=GET path=/healthz status=200
2026/09/21 08:52:36 probe path=/healthz result=200 uptime=164s
2026/09/21 08:52:36 http method=GET path=/healthz status=200
2026/09/21 08:52:41 probe path=/healthz result=200 uptime=169s
2026/09/21 08:52:41 http method=GET path=/healthz status=200
2026/09/21 08:52:46 probe path=/healthz result=200 uptime=174s
2026/09/21 08:52:46 http method=GET path=/healthz status=200
2026/09/21 08:52:51 probe path=/healthz result=200 uptime=179s
2026/09/21 08:52:51 http method=GET path=/healthz status=200
2026/09/21 08:52:56 probe path=/healthz result=200 uptime=184s
2026/09/21 08:52:56 http method=GET path=/healthz status=200
2026/09/21 08:53:01 probe path=/healthz result=200 uptime=189s
2026/09/21 08:53:01 http method=GET path=/healthz status=200
2026/09/21 08:53:06 probe path=/healthz result=200 uptime=194s
2026/09/21 08:53:06 http method=GET path=/healthz status=200
2026/09/21 08:53:11 probe path=/healthz result=200 uptime=199s
2026/09/21 08:53:11 http method=GET path=/healthz status=200
2026/09/21 08:53:16 probe path=/healthz result=200 uptime=204s
2026/09/21 08:53:16 http method=GET path=/healthz status=200
2026/09/21 08:53:21 probe path=/healthz result=200 uptime=209s
2026/09/21 08:53:21 http method=GET path=/healthz status=200
2026/09/21 08:53:26 probe path=/healthz result=200 uptime=214s
2026/09/21 08:53:26 http method=GET path=/healthz status=200
2026/09/21 08:53:31 probe path=/healthz result=200 uptime=219s
2026/09/21 08:53:31 http method=GET path=/healthz status=200
2026/09/21 08:53:36 probe path=/healthz result=200 uptime=224s
2026/09/21 08:53:36 http method=GET path=/healthz status=200
2026/09/21 08:53:41 probe path=/healthz result=200 uptime=229s
2026/09/21 08:53:41 http method=GET path=/healthz status=200
2026/09/21 08:53:46 probe path=/healthz result=200 uptime=234s
2026/09/21 08:53:46 http method=GET path=/healthz status=200
2026/09/21 08:53:51 probe path=/healthz result=200 uptime=239s
2026/09/21 08:53:51 http method=GET path=/healthz status=200
2026/09/21 08:53:56 probe path=/healthz result=200 uptime=244s
2026/09/21 08:53:56 http method=GET path=/healthz status=200
2026/09/21 08:54:01 probe path=/healthz result=200 uptime=249s
2026/09/21 08:54:01 http method=GET path=/healthz status=200
2026/09/21 08:54:06 probe path=/healthz result=200 uptime=254s
2026/09/21 08:54:06 http method=GET path=/healthz status=200
2026/09/21 08:54:11 probe path=/healthz result=200 uptime=259s
2026/09/21 08:54:11 http method=GET path=/healthz status=200
2026/09/21 08:54:16 probe path=/healthz result=200 uptime=264s
2026/09/21 08:54:16 http method=GET path=/healthz status=200
2026/09/21 08:54:21 probe path=/healthz result=200 uptime=269s
2026/09/21 08:54:21 http method=GET path=/healthz status=200
2026/09/21 08:54:26 probe path=/healthz result=200 uptime=274s
2026/09/21 08:54:26 http method=GET path=/healthz status=200
2026/09/21 08:54:27 fault-changed target=healthz state=down uptime=275s
2026/09/21 08:54:27 http method=GET path=/admin/fault status=200
2026/09/21 08:54:31 probe path=/healthz result=500 reason=injected-fault uptime=279s
2026/09/21 08:54:31 http method=GET path=/healthz status=500
2026/09/21 08:54:36 probe path=/healthz result=500 reason=injected-fault uptime=284s
2026/09/21 08:54:36 http method=GET path=/healthz status=500
2026/09/21 08:54:41 probe path=/healthz result=500 reason=injected-fault uptime=289s
2026/09/21 08:54:41 http method=GET path=/healthz status=500
